title,author,titlerus,tag,wiki,img
Adventures of Huckleberry Finn,Mark Twain,Приключения Гекльберри Финна,adventure,http://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D0%93%D0%B5%D0%BA%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%80%D0%B8_%D0%A4%D0%B8%D0%BD%D0%BD%D0%B0,
Pride and Prejudice,Jane Austen,Гордость и предубеждение,novel,http://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B4%D0%BE%D1%81%D1%82%D1%8C_%D0%B8_%D0%BF%D1%80%D0%B5%D0%B4%D1%83%D0%B1%D0%B5%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5,
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Приключения Шерлока Холмса,detective,http://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D0%A8%D0%B5%D1%80%D0%BB%D0%BE%D0%BA%D0%B0_%D0%A5%D0%BE%D0%BB%D0%BC%D1%81%D0%B0_%28%D1%81%D0%B1%D0%BE%D1%80%D0%BD%D0%B8%D0%BA%29,
Alice's Adventures in Wonderland,Lewis Carroll,Приключения Алисы в Стране чудес,fantasy,http://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D0%90%D0%BB%D0%B8%D1%81%D1%8B_%D0%B2_%D0%A1%D1%82%D1%80%D0%B0%D0%BD%D0%B5_%D0%A7%D1%83%D0%B4%D0%B5%D1%81,
The Kama Sutra of Vatsyayana,Vatsyayana,Кама Сутра,erotic,http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B0_%D0%A1%D1%83%D1%82%D1%80%D0%B0,
Grimms' Fairy Tales by Jacob Grimm,Wilhelm Grimm,Сказки братьев Гримм,fairy tale,http://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%B0%D0%B7%D0%BA%D0%B8_%D0%B1%D1%80%D0%B0%D1%82%D1%8C%D0%B5%D0%B2_%D0%93%D1%80%D0%B8%D0%BC%D0%BC,
The Prince,Niccolò Machiavelli,Государь,history,http://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%8C_%28%D0%9C%D0%B0%D0%BA%D0%B8%D0%B0%D0%B2%D0%B5%D0%BB%D0%BB%D0%B8%29,
Wuthering Heights,Emily Brontë,Грозовой перевал,novel,http://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%BE%D0%B7%D0%BE%D0%B2%D0%BE%D0%B9_%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%B0%D0%BB,
The Adventures of Tom Sawyer,Mark Twain,Приключения Тома Сойера,adventure,http://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D0%A2%D0%BE%D0%BC%D0%B0_%D0%A1%D0%BE%D0%B9%D0%B5%D1%80%D0%B0,
How to Analyze People on Sight,Elsie Lincoln Benedict and Ralph Paine Benedict,,philosophy,#,
